amfi_code,latest_nav,nav_1y,nav_3y,cagr_1y,cagr_3y,cagr_5y,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,cagr_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score
148567,230.2708,191.3173,95.7008,0.20360678307711866,0.3400091602163293,,1.4482911703262604,0.2698375144191807,-0.11265729075028275,1.46,39.0,40.0,34.0,18.0,33.0,100.0
120505,473.764,365.5455,207.0322,0.29604659337893646,0.317775371512347,,1.1801011976606495,0.2926358334175106,-0.18188513572116294,1.36,36.0,36.0,38.0,26.0,16.0,95.3623188405797
120843,163.2397,128.8832,75.0212,0.26657081760850154,0.2958277033726251,,1.3067439695428413,0.27330465038306057,-0.1297396816518679,1.45,34.0,39.0,36.0,19.0,28.0,95.07246376811594
100033,342.0072,223.1951,147.2155,0.5323239623092084,0.32442459421956116,,1.093698743534631,0.2719535450128533,-0.16217208574644848,1.38,37.0,34.0,35.0,24.0,21.0,93.62318840579711
120504,151.1311,133.6683,64.9875,0.13064279264417977,0.3248742855621496,,1.0265242847993006,0.2119482701352573,-0.12588275606922517,0.8,38.0,31.0,28.0,29.0,29.0,92.7536231884058
119094,203.8581,166.74,82.651,0.22261065131342206,0.35111802096428524,,0.9982309868636403,0.2607666908004223,-0.20960883862039192,1.38,40.0,30.0,32.0,24.0,13.0,89.27536231884058
119551,149.3216,93.0716,67.2551,0.6043734071403091,0.3045652442030289,,1.2082665673727178,0.23201007160635082,-0.1501238549864533,1.54,35.0,37.0,31.0,10.5,24.0,86.7391304347826
148569,97.7435,69.9408,45.3433,0.3975176148971702,0.2917890157839378,,1.2349300257743292,0.2827036785246582,-0.1639674294693263,1.6,33.0,38.0,37.0,4.5,20.0,85.43478260869564
101206,773.2939,522.7639,360.4971,0.4792412023860102,0.2896769452874166,,1.0272133278753697,0.21399784776051212,-0.11291596329323073,1.6,32.0,32.0,29.0,4.5,32.0,79.05797101449275
119598,309.205,169.1715,152.1339,0.8277605861507404,0.2666992200118774,,0.9453082575156093,0.3033696538698332,-0.2870600572176455,1.43,29.0,27.0,40.0,20.0,5.0,78.1159420289855
149323,245.3651,201.9778,120.1534,0.21481222193726257,0.268699908289022,,1.1321218524747252,0.26598577542043045,-0.17248105753451382,1.61,30.0,35.0,33.0,3.0,19.0,77.39130434782608
149324,279.7511,169.4037,136.5703,0.6513871892998797,0.27000426614519246,,0.949795824661604,0.3005787817097677,-0.31171900300634214,1.52,31.0,28.0,39.0,14.5,4.0,77.31884057971014
118632,110.5554,82.5157,59.9173,0.339810484550213,0.22652359830098634,,1.0816591793457038,0.21829397904608644,-0.17414075086657232,1.51,27.0,33.0,30.0,16.5,18.0,77.17391304347827
119552,137.7323,130.2974,87.6319,0.05706100044974027,0.16267372294624916,,0.953279496866011,0.1986859936686296,-0.11803493502764295,0.66,18.0,29.0,26.0,37.0,30.0,76.52173913043477
125497,1204.9571,936.4319,725.3323,0.2867535802656873,0.18434488610520172,,0.7757902498211205,0.17729754927531766,-0.15200013055606398,0.92,22.0,23.0,25.0,27.0,23.0,68.69565217391305
118635,326.7508,266.7501,189.0531,0.22493224932249345,0.20008208380471482,,0.6648569985490621,0.1513635464823924,-0.1165062450540909,0.89,24.0,22.0,18.0,28.0,31.0,68.40579710144928
118633,91.601,72.9656,51.5912,0.25539980483954094,0.2108997654925684,,0.6452074382933218,0.15643835948169668,-0.18629743138595511,0.72,26.0,20.0,19.0,35.5,15.0,67.89855072463769
102885,187.7797,156.2127,109.5778,0.20207703983094838,0.1966726206830185,,0.817099337349437,0.17048756803412696,-0.1085986215250232,1.57,23.0,25.0,22.0,7.0,34.0,63.76811594202898
120503,118.1496,108.9046,79.793,0.08489081269294418,0.13978381933703043,,0.7979728586052844,0.17703302365844073,-0.13897862823061635,1.42,16.0,24.0,24.0,21.0,27.0,62.17391304347826
148568,205.451,179.7953,135.9792,0.14269394138778924,0.14748035533586012,,0.9262873467360141,0.20873010086942337,-0.1527259422823477,1.52,17.0,26.0,27.0,14.5,22.0,61.95652173913043
120506,404.4207,285.1667,243.5209,0.4181904829701364,0.1842199653744454,,0.6488787755249528,0.1625385327998104,-0.1982565826298267,1.41,21.0,21.0,21.0,22.0,14.0,59.27536231884057
120507,388.5939,361.7349,313.7274,0.0742505077613469,0.07394286300360076,,0.495723392953312,0.06746210411099539,-0.0009773140045925555,0.74,12.0,18.0,10.0,34.0,40.0,55.65217391304348
119093,58.4203,48.7784,33.127,0.197667410165155,0.20816771175535864,,0.12961449795669325,0.08232801295222093,-0.21751396370148224,0.75,25.0,12.0,13.0,33.0,10.0,55.21739130434783
102887,378.9657,333.6461,191.4633,0.135831349444816,0.25556187904126526,,0.6195175900829826,0.16211256794033255,-0.21539827112383225,1.64,28.0,19.0,20.0,1.5,11.0,53.55072463768117
149322,606.2349,513.2749,368.5589,0.1811115252275146,0.18044206486636138,,0.46403744922047735,0.13173190226099432,-0.14844576917771746,1.54,20.0,16.0,17.0,10.5,25.0,50.652173913043484
125498,188.3619,163.1634,136.8198,0.15443720834451846,0.11245222866621418,,0.3006119210425479,0.11989100971217971,-0.21117279560132118,0.78,15.0,14.0,15.0,31.0,12.0,48.84057971014492
120844,4268.5497,3984.8178,3514.2793,0.07120323042122512,0.06695971624586994,,-0.08874729621557288,0.06455677495375998,-0.0011629327956168556,0.6,11.0,7.0,9.0,38.0,39.0,47.681159420289866
120841,482.127,412.6489,298.9723,0.16837098075385626,0.1726727508371786,,0.4942725378672348,0.13042924450705445,-0.1757361416468729,1.59,19.0,17.0,16.0,6.0,17.0,45.65217391304348
118634,134.6683,116.2826,106.8805,0.15811221971300937,0.08007927728656083,,0.4484340089089915,0.1750072167561127,-0.2334488614483311,1.53,14.0,15.0,23.0,12.5,9.0,44.42028985507246
118636,37.8243,34.2441,33.5654,0.10454939683040276,0.040622050237771434,,-0.35662950751436784,0.05074772999976104,-0.08316361763638702,0.55,8.0,3.0,6.0,40.0,35.0,40.14492753623188
119120,54.2038,51.3673,45.7168,0.055219955107626895,0.05840358798463097,,-0.22657538662791568,0.05620895216638369,-0.04328728923970093,0.77,9.0,4.0,7.0,32.0,36.0,39.13043478260869
101208,410.1021,382.4272,341.2705,0.0723664530138024,0.06315784491375509,,-0.8155673679088258,0.060861457957871144,-0.0016224980244717857,0.79,10.0,1.0,8.0,30.0,38.0,38.11594202898551
100025,31.8843,30.7452,28.4135,0.03704968580461343,0.039163899571040384,,-0.5670947928476846,0.042817920315060876,-0.04308263824636349,0.56,7.0,2.0,3.0,39.0,37.0,36.95652173913043
120842,82.6457,67.4648,66.0535,0.2250195657587366,0.07756003551327284,,0.07599984804658923,0.0780443887615508,-0.24003511326274884,1.56,13.0,11.0,12.0,8.0,8.0,32.028985507246375
119599,105.4849,92.573,109.8329,0.1394780335518997,-0.01337386614488112,,-0.05718662582817995,0.048824215945539845,-0.5257422117012851,0.72,3.0,9.0,5.0,35.5,1.0,27.7536231884058
119092,50.8387,50.0336,50.045,0.016091186722522632,0.005258871209757432,,0.030784850954585916,0.0689952982167755,-0.1440161790933726,1.64,5.0,10.0,11.0,1.5,26.0,26.159420289855074
101207,53.9836,71.018,61.3081,-0.23986031710270628,-0.04152381044854481,,0.16266076928646786,0.10897091901704538,-0.3544691649336603,1.53,2.0,13.0,14.0,12.5,3.0,25.579710144927535
119095,56.1319,98.1286,81.548,-0.427976145588544,-0.11705806723995271,,-0.07597357117478923,0.048015953637759554,-0.5167775370852656,1.38,1.0,8.0,4.0,24.0,2.0,20.0
100016,583.6113,596.8877,561.5519,-0.02224270997710287,0.01292649342495622,,-0.20151706755966936,0.03747580763443281,-0.24734440880673303,1.55,6.0,6.0,2.0,9.0,7.0,16.666666666666664
102886,125.564,150.9137,128.4997,-0.16797480944407306,-0.007674063178547241,,-0.2058316078547031,0.028969397866379445,-0.2800112356639287,1.51,4.0,5.0,1.0,16.5,6.0,16.594202898550723
